id,nama_brand,jenis_usaha,lokasi,rating,total_review,rentang_harga,penjualan,cluster
1,Beard Papa's,Event & Promotion,Arrival Lobby Terminal 1,3.8,98,murah,,1
2,Chez Choux,Event & Promotion,Arrival Lobby Terminal 1,4.7,7,sedang,,0
3,Periplus,Event & Promotion,Boarding Lounge Terminal 1,4.5,53,sedang,,1
4,Doughlab,Event & Promotion,Boarding Lounge Terminal 1,4.5,261,mahal,,1
5,Polo,Event & Promotion,Boarding Lounge Terminal 1,3.1,9,sedang,,0
6,Beard Papa's,Event & Promotion,Boarding Lounge Terminal 1,3.8,98,murah,,1
7,Chez Choux,Event & Promotion,Boarding Lounge Terminal 1,4.7,7,sedang,,0
8,Polo Leather,Event & Promotion,Boarding Lounge Terminal 1,3.1,9,sedang,,0
9,Blue Sky Lounge,Event & Promotion,Boarding Lounge Terminal 1,4.4,239,sangat mahal,,1
10,A&W,Food & Beverage,Arrival Lobby B Terminal 1,4.2,2820,sedang,,2
11,Bakmi Gocit,Food & Beverage,Arrival Lobby B Terminal 1,3.5,16,sedang,,0
12,Pastry Station,Food & Beverage,Arrival Lobby B Terminal 1,5.0,1,sedang,,0
13,LA Café,Food & Beverage,Arrival Lobby B Terminal 1,3.7,219,sedang,,1
14,Roti O,Food & Beverage,Arrival Lobby B Terminal 1,3.7,164,murah,,1
15,Roti Boy,Food & Beverage,Arrival Lobby B Terminal 1,4.3,79,murah,,1
16,Beard Papa's,Food & Beverage,Arrival Lobby B Terminal 1,3.8,98,murah,,1
17,Soto Bangkalan,Food & Beverage,Central Lobby Terminal 1,4.0,2,sedang,,0
18,Soto Bangkalan,Food & Beverage,Non Terminal 2,4.0,2,sedang,,0
19,Solaria,Food & Beverage,Central Lobby Terminal 1,4.3,25,sedang,,0
20,Roti O,Food & Beverage,Central Lobby Terminal 1,3.7,164,murah,,1
21,Soerabaja Café,Food & Beverage,Central Lobby Terminal 1,3.7,110,sedang,,1
22,A&W,Food & Beverage,Central Lobby Terminal 1,4.2,2820,sedang,,2
23,Java Café,Food & Beverage,Central Lobby Terminal 1,4.1,346,sedang,,1
24,Restaurant Bangkalan,Food & Beverage,Central Lobby Terminal 1,3.5,210,sedang,,1
25,Dunkin Donut,Food & Beverage,Departure Lobby Terminal 1,4.1,78,sedang,,1
26,Chez Choux,Food & Beverage,Departure Lobby Terminal 1,4.7,7,sedang,,0
27,Kedai MJ,Food & Beverage,Departure Lobby Terminal 1,2.8,12,sedang,,0
